row	col	rho
Gene7	Gene25	0.993229903459056
Gene2	Gene22	0.989545945622461
Gene23	Gene26	0.988478301866463
Gene2	Gene12	0.98820729659812
Gene22	Gene28	0.987778415301901
Gene7	Gene28	0.985439126824281
Gene9	Gene22	0.985258993920149
Gene2	Gene28	0.98455218405879
Gene2	Gene19	0.984058019299592
Gene25	Gene28	0.983987640847013
Gene12	Gene28	0.983430083516559
Gene9	Gene26	0.982750746422504
Gene2	Gene26	0.982064123530013
Gene12	Gene22	0.980304049021333
Gene22	Gene26	0.978807001164471
Gene2	Gene23	0.978699676723227
Gene19	Gene22	0.978011171414513
Gene12	Gene23	0.977843498489522
Gene9	Gene28	0.976659536376012
Gene9	Gene23	0.974969874044613
Gene22	Gene23	0.97447113362664
Gene7	Gene12	0.972818650625588
Gene3	Gene25	0.972022775200664
Gene2	Gene9	0.971859243054974
Gene9	Gene19	0.971575932613114
Gene23	Gene28	0.97072415817864
Gene26	Gene28	0.97006417952661
Gene12	Gene25	0.968822142482733
Gene11	Gene22	0.968248998569185
Gene12	Gene26	0.96791105978074
Gene19	Gene26	0.967697369599872
Gene12	Gene19	0.967340676824002
Gene19	Gene28	0.967337162499773
Gene7	Gene22	0.966012304232035
Gene22	Gene25	0.965902011478066
Gene7	Gene9	0.965288933871351
Gene2	Gene7	0.965089788181979
Gene2	Gene11	0.964713729991572
Gene9	Gene12	0.964483711478088
Gene2	Gene25	0.963696097723808
Gene3	Gene7	0.963649690351057
Gene3	Gene28	0.963416853004687
Gene9	Gene25	0.962447526089217
Gene19	Gene23	0.962326080166332
Gene11	Gene26	0.960193212921254
Gene19	Gene25	0.959613806863125
Gene7	Gene23	0.956321600035299
Gene7	Gene26	0.954328316766562
Gene3	Gene22	0.953476993952806
Gene9	Gene11	0.953008595113479
Gene11	Gene28	0.952499773589879
Gene7	Gene19	0.950254241309529
Gene11	Gene23	0.949135135966637
Gene3	Gene12	0.947287100245966
Gene23	Gene25	0.945870081728999
Gene8	Gene25	0.945784339761794
Gene4	Gene29	0.945714507275281
Gene25	Gene26	0.944155087431551
Gene11	Gene12	0.943085718491995
Gene11	Gene19	0.941782608188987
Gene1	Gene7	0.941208258112756
Gene7	Gene8	0.939786636529039
Gene2	Gene3	0.937740089628012
Gene8	Gene12	0.936037911376919
Gene8	Gene28	0.929431794283491
Gene3	Gene19	0.927407417872679
Gene3	Gene9	0.92707890443173
Gene2	Gene8	0.925343736113728
Gene1	Gene25	0.922793071541664
Gene1	Gene8	0.921862577760187
Gene8	Gene19	0.919078381879284
Gene3	Gene23	0.914647454061527
Gene5	Gene11	0.91294457620663
Gene8	Gene23	0.912589523576633
Gene2	Gene5	0.907104468910197
Gene3	Gene26	0.906062343581599
Gene1	Gene28	0.902699632923895
Gene1	Gene23	0.901841328509691
Gene1	Gene12	0.901105481761721
Gene7	Gene11	0.90019809599503
Gene11	Gene25	0.899417834999398
Gene8	Gene22	0.89572996628942
Gene8	Gene9	0.895293572783839
Gene8	Gene26	0.891305242674659
Gene5	Gene22	0.890350050932894
Gene6	Gene29	0.883936422050083
Gene3	Gene11	0.883751602144533
Gene5	Gene26	0.88305427967669
Gene14	Gene29	0.882125833640315
Gene5	Gene19	0.881553181701915
Gene1	Gene3	0.881388497112346
Gene1	Gene9	0.879004176605593
Gene3	Gene8	0.87714402915881
Gene5	Gene23	0.87659217033739
Gene5	Gene12	0.873955952360732
Gene15	Gene29	0.867102605507041
Gene1	Gene26	0.866093043773599
Gene1	Gene2	0.861618013692396
Gene1	Gene22	0.85998811024024
Gene5	Gene9	0.851406573516246
Gene4	Gene15	0.850499411866067
Gene1	Gene19	0.844013737503857
Gene5	Gene28	0.841030450203614
Gene8	Gene11	0.837452879233275
Gene6	Gene14	0.835761827142989
Gene4	Gene6	0.82753473463564
Gene4	Gene14	0.819845411005633
Gene6	Gene15	0.808121006883822
Gene6	Gene20	0.807214313728535
Gene5	Gene25	0.793531442703618
Gene5	Gene7	0.791212857828175
Gene3	Gene5	0.790257024189634
Gene1	Gene11	0.77849083690864
Gene10	Gene14	0.763027875676151
Gene4	Gene20	0.753030908883281
Gene5	Gene8	0.735063054136469
Gene10	Gene29	0.719931173873937
Gene17	Gene24	0.717548631059659
Gene20	Gene29	0.717389678928489
Gene15	Gene20	0.687998137854079
Gene10	Gene18	0.666780086470111
Gene5	Gene30	0.662998022233894
Gene14	Gene20	0.66239413762541
Gene3	Gene27	0.652026022211301
Gene13	Gene21	0.649365479739638
Gene19	Gene27	0.634862967827054
Gene10	Gene24	0.632247461175647
Gene4	Gene10	0.628492679675516
Gene1	Gene5	0.624226145808858
Gene14	Gene15	0.621142335198356
Gene24	Gene29	0.620152235592496
