,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Gene1,2,0,2,1,0,0,0,1,1,0,0,7,0,0,1,0,0,0,9,0
Gene2,2,0,8,1,5,1,5,2,1,1,1,51,0,0,2,1,0,0,26,1
Gene3,0,0,0,1,0,2,0,0,0,0,0,11,0,2,0,0,0,0,8,1
Gene4,635,768,667,577,571,1001,934,381,681,383,402,420,576,278,285,332,295,170,409,520
Gene5,4,2,6,2,10,5,3,3,0,3,3,29,1,1,1,1,0,1,6,2
Gene6,137,122,129,195,181,268,224,127,219,129,93,100,144,66,105,97,96,46,162,105
Gene7,0,0,1,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,8,0
Gene8,9,2,7,5,5,2,13,6,8,4,6,34,7,0,7,6,1,3,30,5
Gene9,0,1,5,0,0,1,0,1,0,0,0,17,2,0,0,0,0,0,10,0
Gene10,577,503,412,544,612,371,689,274,533,453,494,388,465,342,156,228,128,198,570,400
Gene11,1,1,7,1,1,0,0,0,1,0,0,27,0,0,1,0,0,0,9,4
Gene12,2,0,2,1,1,0,1,0,0,1,0,15,0,0,0,0,0,0,9,0
Gene13,7,2,28,35,4,6,9,4,17,18,1,33,24,2,6,16,1,5,15,11
Gene14,691,730,768,846,803,834,1038,498,1205,733,428,402,812,229,292,355,139,143,508,503
Gene15,381,291,437,428,420,808,546,236,255,206,159,133,181,246,141,179,95,73,278,297
Gene16,2241,124,376,309,580,631,1740,3312,589,1959,396,1215,1963,287,60,81,94,101,2015,200
Gene17,1237,518,98,193,275,237,341,193,188,220,261,252,722,312,244,179,28,33,286,1004
Gene18,1365,769,1047,915,1547,457,1574,734,855,661,549,1431,1236,217,444,479,389,168,507,1053
Gene19,0,1,2,0,1,1,2,0,0,0,0,11,1,0,1,0,0,0,6,0
Gene20,59,13,45,51,15,103,110,54,83,6,19,45,44,15,22,24,16,5,36,12
Gene21,375,42,1541,1234,56,39,75,58,172,213,41,76,1566,8,107,14,88,198,84,602
Gene22,0,0,2,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,6,0
Gene23,3,0,9,1,4,1,1,0,1,0,1,27,0,0,1,0,0,0,17,0
Gene24,801,599,409,376,539,417,529,585,513,421,226,285,425,335,291,287,73,121,541,682
Gene25,0,0,1,0,0,1,1,1,0,0,0,14,1,0,0,0,0,0,11,1
Gene26,0,0,6,0,2,0,1,1,0,0,0,18,0,0,0,0,1,0,10,0
Gene27,2,6,4,8,3,15,9,1,2,10,3,15,6,4,3,5,4,2,10,4
Gene28,0,0,2,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,10,1
Gene29,955,935,911,980,1046,1316,1330,589,948,673,395,503,911,436,413,465,352,233,694,730
Gene30,1,1,2,3,132,131,3,6,3,110,3,146,2,0,2,3,0,1,3,58
